מעסיק	הוראת שעה; תחילתו שישה חודשים מיום פרסומו ותוקפו לחמש שנים. [1] סמכויותיו הועברו לשר הרווחה והשירותים החברתיים: י"פ תשע"ז מס' 7394
מעסיק	הוראות פרק זה והתוספת יעמדו בתוקפן חמש שנים מיום תחילתו של חוק ארגון הפיקוח על העבודה (תיקון מס' 11 – הוראת שעה), התשע"ט-2018
מעסיק	חוק העבירות המינהליות, תשמ"ו-1985
מעסיק	תקנות. הודעה על נאמן בטיחות ותחילת כהונתו (תיקון מס' 8)      תשע"ד-2014
מעסיק	הוראות הבטיחות" – הוראות הדין המפורטות בתוספת;           "מבצע בנייה" – כמשמעותו בתקנות 1 ו-6 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
מעסיק	הוראות סעיף 8ג יחולו בשינויים המחוייבים.   מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459
מעסיק	חוק מס מקביל, תשל"ג-1973
מעסיק	הוראת שעה ס"ח תשע"ט מס' 2761
מעסיק	תקנות שיעורי שכר בטלה והוצאות שישלם המעסיק למי שאינו עובד המפעל ומונה כאמור כחבר בועדת הבטיחות. (תיקון     מס' 2)      תשמ"ב-1982
מעסיק	חוקיותו של צו שנמסר או שהודבק כאמור. (תיקון     מס' 2)      תשמ"ב-1982
מעסיק	הוראות סעיף 17(2) 17(א)(2) יחולו, בשינויים המחוייבים לפי הענין, על חילוקי דעות בין נאמני בטיחות לבין מעביד בקשר למעשי המעביד כאמור.   מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459
מעסיק	תקנות האמורות. 4.        תקנות 79, 80 ו-164(א) עד (ג) לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
מעסיק	תקנות 1 ו-6 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
מעסיק	פקודת הבטיחות בעבודה;           "פקודת הבטיחות בעבודה" – פקודת הבטיחות בעבודה [נוסח חדש], התש"ל-1970
מעסיק	תקנות. (תיקון     מס' 6)      תשנ"ח-1998
מעסיק	תקנות. מינהלת המוסד (תיקון מס' 8)      תשע"ד-2014
מעסיק	תקנה 1 לתקנות עבודת הנוער (עבודות אסורות ועבודות מוגבלות), התשנ"ו-1995
ממונה על ביצוע	חוק הגז (בטיחות ורישוי), תשמ"ט-1989
ממונה על ביצוע	הוראות פרק זה, יעמיד לרשותו את האמצעים הנדרשים למילוי תפקידו ויאפשר לו לבצע את עבודתו. מיום 28.5.2019 עד יום 27.5.2024 תיקון מס' 11 – הוראת שעה ס"ח תשע"ט מס' 2761
ממונה על ביצוע	תקנה 2 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
ממונה על ביצוע	חוק ארגון הפיקוח על העבודה, תשי"ד-1954
ממונה על ביצוע	הוראת שעה) תשע"ט-2018
ממונה על ביצוע	תקנה 7 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
ממונה על ביצוע	הוראות החוק והתקנות לפיו. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
ממונה על ביצוע	תקנה 5(1) ו-(2) לתקנות הבטיחות בעבודה (עבודה בגובה), התשס"ז-2007
ממונה על ביצוע	תקנות הוראות בדבר דרכי סיוע של המעסיק לועדת בטיחות במילוי תפקידיה; תקנות כאמור יכול שיהיו כלליות או לפי סוגי מפעלים, ענפי עבודה, מקצועות או אזורים. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
ממונה על ביצוע	תקנות. מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459
ממונה על ביצוע	חוק האמור לכל יום שבו נמשכת העבירה; (2)   עבירה לפי סעיף זה היא עבירה מסוג העבירות של אחריות קפידה. (תיקון מס' 10) תשע"ו-2016
ממונה על ביצוע	הוראות תקנות 79 ו-80 לתקנות האמורות. 5.        תקנה 2(א) לתקנות הבטיחות בעבודה (עגורנאים, מפעילי מכונות הרמה אחרות ואתתים), התשנ"ג-1992
ממונה על ביצוע	חוק להגברת הצמיחה והתעסוקה ולהשגת יעדי התקציב לשנת הכספים 1998 (תיקוני חקיקה), תשנ"ח-1998
ממונה על ביצוע	תקנות, הוראות בדבר תקופת כהונתו של המועצה והתנאים להפסקת החברות בה.           (ד)  הודעה על הרכב מועצת המוסד תפורסם ברשומות. מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459
ממונה על ביצוע	הוראות בדבר מינוי ממונה על בטיחות ופסילתו, בדבר חובותיו כלפי מפקח עבודה וועדת בטיחות ובדבר העונש שיהיה צפוי לו באי-מילוי חובותיו. מיום 1.11.1989 תיקון מס' 4 ס"ח תשמ"ט מס' 1286
